model,MAE_test,RMSE_test,R2_test,CV_MAE
ET_Baseline,0.11122807017543766,0.15259164631891173,0.9992238596491229,1.592730555555556
ET_Tuned,0.12110917055487466,0.1580409833389294,0.9991674349195088,1.605570138888894
