cycle,charge_time_to_full_rolling_mean_10,voltage_spread_under_load_rolling_mean_10,proxy_IR_mean_rolling_mean_10,voltage_asymmetry_under_load_rolling_mean_10,charge_time_to_full_rolling_mean_5,voltage_spread_under_load_rolling_mean_5,voltage_spread_mean_rolling_mean_10,voltage_spread_under_load_rolling_mean_3,charge_time_to_full_rolling_mean_3,voltage_spread_under_load,voltage_spread_max_rolling_mean_10,charge_time_to_full,proxy_IR_mean,proxy_IR_median,proxy_IR_mean_rolling_mean_5,Cell_V_Avg_range_rolling_mean_10,proxy_IR_mean_rolling_mean_3,voltage_asymmetry_under_load_rolling_mean_5,voltage_asymmetry_under_load_rolling_mean_3,charge_time_to_95,voltage_asymmetry_under_load,voltage_spread_mean_rolling_mean_5,voltage_spread_max_rolling_mean_5,active_duration,voltage_spread_max_rolling_mean_3,charge_time_to_80,Cell_V_Avg_range_rolling_mean_5,voltage_spread_mean_rolling_mean_3,voltage_asymmetry_mean_rolling_mean_10,Cell_V_Avg_range_rolling_mean_3,soh_label
11,5925.6,0.005761438616480175,0.0013967364377349455,0.24791728534564386,5856.4,0.00588924892863559,0.005510255086556516,0.005921990436745589,5834.333333333333,0.005979055779133674,0.016100000000000093,5815.0,0.0015044056464898921,0.001499250374812628,0.0014603718539306838,0.8129000000000003,0.0014823246623733247,0.25115065066552156,0.25197643337965786,4369.0,0.25334504565533666,0.0057010938240493764,0.016600000000000125,23109,0.0170000000000002,3071.0,0.8184000000000002,0.005710646281562102,0.24223529064379065,0.8196666666666669,97.0
12,5898.5,0.00581673589523404,0.001422871476751475,0.24931898439373573,5835.4,0.005932064449276313,0.00560570602677813,0.005976748675228874,5814.666666666667,0.006039377249663907,0.016300000000000113,5796.0,0.0015205106257483716,0.0015137180700094623,0.0014810860316610474,0.8160000000000004,0.0015023998759188782,0.25238336914886766,0.2534278660096981,4355.0,0.2553516755874188,0.005714327266930668,0.016800000000000193,23059,0.017000000000000348,3063.0,0.8194000000000002,0.005778701863152483,0.24535575836593781,0.8216666666666669,97.0
13,5875.2,0.0058704598854058595,0.0014463408041170953,0.250768512083936,5817.4,0.005975219705412997,0.005676129975291984,0.0060297276653206305,5799.666666666667,0.006070749967164312,0.016500000000000136,5788.0,0.0015382162418055814,0.0015269151138716398,0.0015011401709347856,0.8172000000000003,0.0015210441713479482,0.2534292882339878,0.25485406222876733,4353.0,0.2558654654435466,0.005726349800719762,0.017000000000000258,22841,0.017000000000000348,3065.0,0.8208000000000002,0.005932469496061691,0.2484974640856806,0.8223333333333335,97.0
14,5851.2,0.005913389950411052,0.0014676302121925282,0.2519348009512622,5798.8,0.006017150709768274,0.005668782708310345,0.006064961590939551,5782.0,0.006084757555990435,0.01660000000000017,5762.0,0.0015496959268312264,0.0015427769985974927,0.0015190223592786883,0.8194000000000002,0.0015361409314617264,0.25448175823590086,0.25582562291260963,4332.0,0.25625972770686345,0.005784736321543081,0.017000000000000348,22995,0.017000000000000348,3049.0,0.8224000000000002,0.005749764254869623,0.24943801169982996,0.8233333333333336,97.0
15,5829.8,0.0059520886255229,0.0014874155426336244,0.25275761655873064,5780.6,0.006055602550187956,0.005705545360471782,0.006086526574047399,5764.0,0.006104072198987453,0.016700000000000204,5742.0,0.001567344981513238,0.0015591778880226646,0.001536034684477662,0.8203000000000003,0.0015517523833833485,0.255357684215747,0.25603056661199325,4318.0,0.2559665066855697,0.0059217726945592145,0.017000000000000348,22715,0.017000000000000348,3038.0,0.8234000000000001,0.005883182799057532,0.2509201059366938,0.824,96.0
16,5809.6,0.00598614694736921,0.0015062233120055341,0.25359247914141425,5762.8,0.006083044966102829,0.005738986122653401,0.006101699204561976,5743.333333333333,0.0061162678587080395,0.01680000000000024,5726.0,0.001584606074503507,0.0015772870662460606,0.001552074770080385,0.8213000000000001,0.001567215660949324,0.25603430761730683,0.25631813235185624,4307.0,0.2567281626631356,0.005776878421257426,0.017000000000000348,22818,0.017000000000000348,3031.0,0.8242,0.005794860649124874,0.25237631865038634,0.8253333333333331,96.0
17,5790.9,0.006023739756897068,0.001524913534614512,0.254593341131773,5746.4,0.0061154150645178216,0.005805025307719552,0.006140522599811454,5727.333333333333,0.006201227741738869,0.01690000000000027,5714.0,0.0016038419631863306,0.0015988372093023,0.0015687410375679767,0.8219000000000001,0.0015852643397343583,0.2568033131146783,0.25729712414099387,4300.0,0.2591967030742763,0.005895723348508438,0.017000000000000348,22969,0.017000000000000348,3028.0,0.8244,0.005963680241428077,0.25355425744135995,0.8249999999999997,96.0
18,5772.6,0.006064434750093399,0.0015429751252274307,0.2556483996337412,5727.8,0.006153649794773802,0.005803919686733221,0.0061931397396303755,5711.666666666667,0.006261923618444217,0.017100000000000247,5695.0,0.0016185614515660761,0.0016112789526686823,0.0015848100795200757,0.8225,0.001602336496418638,0.25786751103349453,0.2590371069250131,4285.0,0.26118645503762755,0.005881489572746679,0.017200000000000236,22728,0.017333333333333496,3017.0,0.8241999999999997,0.005865330959707464,0.2527653810712953,0.8236666666666664,96.0
19,5756.4,0.006106557073936885,0.001559733652353443,0.2566699590638668,5714.0,0.006195963438105495,0.005859630112192817,0.006253159044277326,5700.666666666667,0.006296325772648895,0.017200000000000236,5693.0,0.0016278702563718354,0.0016166281755196448,0.0016004449454281974,0.8227,0.0016167578903747472,0.2588581598918327,0.2605320433701528,4287.0,0.2612129719985545,0.005934523902842552,0.017400000000000127,22617,0.017666666666666647,3023.0,0.8229999999999997,0.006012506724178167,0.2538357194332978,0.8213333333333331,95.0
20,5739.6,0.006144269628996583,0.0015750686456761395,0.2576769432912531,5698.6,0.006232936707805212,0.005940204184454529,0.006282395979526382,5684.333333333333,0.0062889385474860365,0.017200000000000236,5665.0,0.0016356332887453389,0.0016288146931722194,0.001614102606874618,0.8232999999999999,0.0016273549988944167,0.2599962023667592,0.2613520486987947,4265.0,0.26165671906020205,0.005958635674349844,0.017400000000000127,22375,0.017666666666666647,3005.0,0.8231999999999997,0.005988036675459875,0.25706054765867975,0.8219999999999997,95.0
