Compare,MAE,RMSE,R2
Baseline,0.0828,0.1057,0.999628
Tuned,0.0850,0.1101,0.999596

--- Baseline Model Overfitting Check ---
Metric,Train,Test,Diff,Note
MAE (%),0.0208,0.0828,+0.0620,OK
RMSE (%),0.0322,0.1057,+0.0735,OK
R2,0.999970,0.999628,+0.000343,OK

--- Tuned Model Overfitting Check ---
Metric,Train,Test,Diff,Note
MAE (%),0.0331,0.0850,+0.0519,OK
RMSE (%),0.0467,0.1101,+0.0634,OK
R2,0.999938,0.999596,+0.000342,OK
