Model,Type,ZeroShot_SOH,ZeroShot_AbsErr,FineTuned_SOH,FineTuned_AbsErr,Improvement
DL_GRU_Top30_BL,DL,80.43343,0.4334300000000013,80.43343353271484,0.43343353271484375,-3.53271484243578e-06
ML_XGBoost_Top30_BL,ML,80.8537,0.8537000000000035,80.85369873046875,0.85369873046875,1.2695312534560799e-06
ML_XGBoost_Top30_TN,ML,81.22381,1.2238100000000003,81.22380828857422,1.2238082885742188,1.7114257815364908e-06
DL_GRU_Top30_TN,DL,64.02398,15.976020000000005,83.25655364990234,3.2565536499023438,12.719466350097662
ML_RF_Top30_TN,ML,86.74,6.739999999999995,83.57353277576149,3.5735327757614925,3.1664672242385024
ML_ExtraTrees_Top30_TN,ML,86.004,6.004000000000005,83.58991085516439,3.5899108551643906,2.4140891448356143
ML_ExtraTrees_Top30_BL,ML,86.12333333333333,6.123333333333335,83.67368515715576,3.6736851571557594,2.4496481761775755
DL_GRU_Tuned,DL,89.815445,9.815444999999997,85.886474609375,5.886474609375,3.928970390624997
DL_LSTM_Top30_TN,DL,12.71574,67.28426,65.24333953857422,14.756660461425781,52.52759953857422
