Model,SOH_Pred,Error,Abs_Error,Type
DL_GRU_Tuned,87.93412017822266,0.06587982177734375,0.06587982177734375,DL
ML_ExtraTrees_Top30_TN,88.288,-0.2879999999999967,0.2879999999999967,ML
ML_RF_Top30_TN,88.3,-0.29999999999999716,0.29999999999999716,ML
ML_ExtraTrees_Top30_BL,88.35666666666667,-0.35666666666666913,0.35666666666666913,ML
ML_XGBoost_Top30_TN,88.37456512451172,-0.37456512451171875,0.37456512451171875,ML
ML_XGBoost_Top30_BL,88.63932800292969,-0.6393280029296875,0.6393280029296875,ML
DL_GRU_Top30_TN,63.22753143310547,24.77246856689453,24.77246856689453,DL
DL_LSTM_Top30_TN,19.756919860839844,68.24308013916016,68.24308013916016,DL
DL_GRU_Top30_BL,9.095703125,78.904296875,78.904296875,DL
