Model,SOH_Pred,Error,Abs_Error,Type
DL_GRU_Top30_BL,80.43343353271484,-0.43343353271484375,0.43343353271484375,DL
ML_XGBoost_Top30_BL,80.85369873046875,-0.85369873046875,0.85369873046875,ML
ML_XGBoost_Top30_TN,81.22380828857422,-1.2238082885742188,1.2238082885742188,ML
ML_ExtraTrees_Top30_TN,86.004,-6.004000000000005,6.004000000000005,ML
ML_ExtraTrees_Top30_BL,86.12333333333333,-6.123333333333335,6.123333333333335,ML
ML_RF_Top30_TN,86.74,-6.739999999999995,6.739999999999995,ML
DL_GRU_Tuned,89.81544494628906,-9.815444946289062,9.815444946289062,DL
DL_GRU_Top30_TN,64.02397918701172,15.976020812988281,15.976020812988281,DL
DL_LSTM_Top30_TN,12.715740203857422,67.28425598144531,67.28425598144531,DL
