model,MAE_test,RMSE_test,R2_test,CV_MAE
RF_Baseline,0.12455781600758985,0.1699466817357185,0.9990372708455673,1.699735576599306
RF_Tuned,0.1171410006497726,0.1585127696475252,0.9991624567286224,1.6380333333333326
