model,MAE_test,RMSE_test,R2_test,CV_MAE
ET_Baseline,0.06368421052631545,0.07886994253996568,0.9997926510721248,1.05251111111111
ET_Tuned,0.0638947916238686,0.07521094575105138,0.9998114437879744,1.035265
